	location	year	month	total_w	sex	maturity	gonad_w	age	site
1429	DL	2017	9	37.38	M	M	0.14	1	DL
1431	DL	2017	9	48.7	M	M	0.21	1	DL
1433	DL	2017	9	43.81	M	M	0.17	1	DL
1435	DL	2017	9	34.22	M	M	0.01	1	DL
1436	DL	2017	9	29.5	M	M	0.04	1	DL
1438	DL	2017	9	43.08	M	M	0.16	1	DL
1440	DL	2017	9	28.81	NA	I	NA	1	DL
1441	DL	2017	9	43.84	NA	M	0.04	1	DL
1443	DL	2017	9	33.4	M	M	0.07	1	DL
1444	DL	2017	9	36.21	NA	I	NA	1	DL
1446	DL	2017	9	44.58	M	M	0.15	1	DL
1447	DL	2017	9	47.13	M	M	0.04	1	DL
1735	DL	2017	10	19.25	NA	I	NA	1	DL
1737	DL	2017	10	6.85	NA	I	NA	1	DL
1747	DL	2017	10	53.05	M	M	0.01	1	DL
1748	DL	2017	10	45.75	M	M	0.01	1	DL
1749	DL	2017	10	35.24	F	M	0.01	1	DL
1751	DL	2017	10	16.67	NA	I	0.02	1	DL
1753	DL	2017	10	16.48	NA	I	0.01	1	DL
1756	DL	2017	10	NA	M	M	0.01	1	DL
1	DL	2017	10	145.5	F	M	0.4	3	DL
2	DL	2017	10	137.71	F	M	0.15	3	DL
3	DL	2017	10	118.91	F	M	1.12	3	DL
4	DL	2017	10	180.4	F	M	1.97	4	DL
5	DL	2017	10	145.6	F	M	0.18	3	DL
6	DL	2017	10	158.79	F	M	0.13	3	DL
7	DL	2017	10	113.79	F	M	0.18	3	DL
8	DL	2017	10	113.39	F	M	0.2	3	DL
9	DL	2017	10	166.53	F	M	0.41	3	DL
10	DL	2017	10	82.05	F	M	0.22	2	DL
11	DL	2017	10	79.82	F	M	0.04	3	DL
12	DL	2017	10	80.35	F	M	0.1	2.5	DL
13	DL	2018	9	503.32	F	M	4.65	4	DL
14	DL	2018	9	487.47	F	M	4.2	4	DL
15	DL	2018	9	416.49	F	M	30.4	4	DL
16	DL	2018	9	693.48	F	M	4.68	4	DL
17	DL	2018	9	402.18	F	M	2.45	3	DL
18	DL	2018	9	369.16	F	M	2.24	3.5	DL
19	DL	2018	9	288.85	F	M	2.65	4	DL
20	DL	2018	10	289.24	F	M	0.37	3	DL
21	DL	2019	9	251.86	F	M	0.65	3	DL
22	DL	2019	9	317.73	F	M	3.16	3	DL
23	DL	2019	9	538.7	F	M	6.92	4	DL
24	DL	2019	9	627.37	F	M	11.23	4.5	DL
25	DL	2019	10	127.6	F	M	0.4	2.5	DL
26	DL	2019	10	188.9	F	M	0.2	3	DL
27	DL	2019	10	244.5	F	M	2	3	DL
28	DL	2019	11	38.1	F	M	0.1	2	DL
29	DL	2019	11	49.3	F	M	0.1	2	DL
30	DL	2019	11	64.3	F	M	0.1	2	DL
31	DL	2019	11	33.3	F	M	0.1	2	DL
32	DL	2019	11	133.8	F	M	0.2	3	DL
33	DL	2019	11	60.3	F	M	5.2	2	DL
34	DL	2019	11	81.6	F	M	0.1	3	DL
35	DL	2017	9	85.36	NA	I	NA	3	DL
36	DL	2017	9	68.9	NA	I	NA	3	DL
37	DL	2017	9	29.05	NA	I	NA	2	DL
38	DL	2017	9	2.79	NA	I	NA	0.178082192	DL
39	DL	2017	9	8.13	NA	I	NA	0.197260274	DL
40	DL	2017	9	11.16	NA	I	NA	0.219178082	DL
41	DL	2017	9	7.56	NA	I	NA	0.169863014	DL
42	DL	2017	9	1.06	NA	I	NA	0.098630137	DL
43	DL	2017	9	3.11	NA	I	NA	0.147945205	DL
44	DL	2017	9	1.18	NA	I	NA	0.123287671	DL
45	DL	2017	9	0.7	NA	I	NA	0.112328767	DL
46	DL	2017	9	1.12	NA	I	NA	0.119178082	DL
47	DL	2017	9	1.49	NA	I	NA	0.142465753	DL
48	DL	2017	10	101.25	NA	I	0.07	3	DL
49	DL	2017	10	110.94	NA	I	0.04	3	DL
50	DL	2017	10	10.71	NA	I	0.01	3.5	DL
51	DL	2018	10	77.61	NA	I	0.08	2	DL
52	DL	2018	10	43.99	NA	I	0.03	2	DL
53	DL	2018	10	67.67	NA	I	0.01	2	DL
54	DL	2018	10	80.45	NA	I	0.01	2	DL
55	DL	2018	10	55.29	NA	I	0.02	2	DL
56	DL	2018	10	49.92	NA	I	0.01	2	DL
57	DL	2018	10	57.35	NA	I	0.1	2	DL
58	DL	2018	10	41.24	NA	I	0.05	2	DL
59	DL	2018	10	47.31	NA	I	0.1	2	DL
60	DL	2018	10	47.73	NA	I	0.01	2	DL
61	DL	2018	10	68.05	NA	I	0.09	2	DL
62	DL	2018	10	50.04	NA	I	NA	2	DL
63	DL	2018	10	45.1	NA	I	0.05	2	DL
64	DL	2018	10	58.99	NA	I	0.06	2	DL
65	DL	2018	10	52.89	NA	I	0.02	2	DL
66	DL	2018	10	47.89	NA	I	0.01	2	DL
67	DL	2018	10	38.16	NA	I	0.02	2	DL
68	DL	2018	10	18.28	NA	I	0.01	2	DL
69	DL	2019	10	47	NA	M	NA	2	DL
70	DL	2019	11	47.5	NA	M	NA	2	DL
71	DL	2019	11	47.8	NA	M	NA	2	DL
72	DL	2019	11	74.2	NA	M	NA	2.5	DL
73	DL	2019	11	37.8	NA	M	NA	2	DL
74	DL	2019	11	93.5	NA	M	NA	2.5	DL
75	DL	2019	11	39	NA	M	NA	2	DL
76	DL	2019	11	47.2	NA	M	NA	2	DL
77	SD	2017	8	212.27	F	M	2.9	3	QS
78	SD	2017	8	246.64	F	M	3.81	3	QS
79	SD	2017	8	268.65	F	M	1.22	3.5	QS
80	SD	2017	8	191.1	F	M	0.69	3	QS
81	SD	2017	8	191.86	F	M	0.49	4	QS
82	SD	2017	8	136.18	F	M	0.36	4	QS
83	SD	2017	9	219.97	F	M	11.38	4	QS
84	SD	2017	9	276.91	F	M	1.16	3	QS
85	SD	2017	9	266.82	F	M	2.61	3	QS
86	SD	2017	10	247.79	F	M	6.43	3	QS
87	SD	2017	10	147.15	F	M	0.23	3	QS
88	SD	2017	10	177.49	F	M	0.34	3	QS
89	SD	2017	12	266.75	F	M	0.91	NA	QS
90	SD	2017	12	201.37	F	M	0.37	2	QS
91	SD	2017	12	193.04	F	M	0.34	3	QS
92	SD	2017	12	107.79	F	M	0.34	3	QS
